,rtrating,numofreviews,link,movietitle,year,AspectRatio,BoxOffice(GrossUSA),Director,Distributor,Genre,OriginalLanguage,Producer,Rating,ReleaseDate(Streaming),Runtime,SoundMix,Writer,MovieRuntime,ReleaseDate(Theater),ReleaseType,streamingornot,releasetype
181,98 ,43,/m/fireball_visitors_from_darker_worlds,Fireball: Visitors from Darker Worlds,2020,,,"Werner Herzog, Clive Oppenheimer",,Documentary,English,"André Singer, Lucki Stipetic",,"Nov13,2020",1h37m,,Werner Herzog,97.0,,,1,
182,98 ,43,/m/the_last_tree,The Last Tree,2020,,,Shola Amoo,Art Mattan Films,Drama,English(UnitedKingdom),"Lee Thomas, Myf Hopkins",,"Jun26,2020",1h40m,,Shola Amoo,100.0,"Jun26,2020 ",limited,1,0
183,97 ,64,/m/the_human_voice_2020,The Human Voice La Voz Humana,2020,,,Pedro Almodóvar,Sony Classics,Drama,Spanish(Spain),,R,"May2,2021",30m,,Pedro Almodóvar,30.0,"Mar12,2021 ",limited,1,0
184,97 ,64,/m/spontaneous,Spontaneous,2020,Scope(2.35:1),,Brian Duffield,,Comedy,English,"Nicki Cortese, Brian Duffield, Matthew Kaplan, Jordan Levin",R,"Oct6,2020",1h42m,,Brian Duffield,102.0,"Oct2,2020 ",limited,1,0
185,97 ,64,/m/rocks,Rocks,2020,,,Sarah Gavron,,Drama,English(UnitedKingdom),"Ameenah Ayub Allen, Faye Ward, Hannah Farrell",,"Feb2,2021",1h33m,,"Claire Wilson, Theresa Ikoko",93.0,,,1,
186,93 ,150,/m/babyteeth,Babyteeth,2020,,4300.0,Shannon Murphy,,Comedy,English(Australia),Alex White,,"Jun18,2020",1h57m,Dolby Digital,Rita Kalnejais,117.0,,,1,
187,98 ,42,/m/assassins_2020,Assassins,2020,,,Ryan White,Greenwich Entertainment,Documentary,Vietnamese,"Jessica Hargrave, Ryan White",,"Jan15,2021",1h44m,,,104.0,"Dec11,2020 ",limited,1,0
188,87 ,278,/m/on_the_rocks_2020,On The Rocks,2020,Flat(1.85:1),,Sofia Coppola,A24,Comedy,English,"Sofia Coppola, Youree Henley",R,"Oct23,2020",1h36m,,Sofia Coppola,96.0,"Oct2,2020 ",limited,1,0
189,97 ,62,/m/the_boy_behind_the_door,The Boy Behind the Door,2020,,,"David Charbonier, Justin Powell",,Mystery&thriller,English,"Ryan Lewis, John Hermann, Jim Hart, Ryan Scaringe, Rick Rosenthal",,"Jul29,2021",1h28m,,"David Charbonier, Justin Powell",88.0,,,1,
190,96 ,78,/m/a_shaun_the_sheep_movie_farmageddon,A Shaun the Sheep Movie: Farmageddon,2020,Scope(2.35:1),,"Richard Phelan, Will Becher",,Kids&family,English(UnitedKingdom),Paul Kewley,G,"Feb14,2020",1h27m,"Dolby Atmos, D T S","Mark Burton, Jon Brown",87.0,,,1,
